"GageID","ToolID","PartNo","Description","Custodian","CurrentStatus","WithCustodian","InToolControl","InCalibration","OutOfService","CalibrationStatus","SpecificDate","ScheduleDays","ScheduleDate","NoCalibrationReq","CalibrationDue","Location","Notes","Lab","Path","CertificateNotes","CertificateProcedure","Received","Left","General","SubmittedTo","SubmittedBy","DateCal"
54,"CI-225","n/a","Caliper, Dial, 12""","QA",,,,,,1,,365,6/15/2023 0:00:00,0,6/14/2024 0:00:00,"QA","Brown & Sharpe","Western States","K:\Quality - Records\7150 - Calibration\Calibration\CI-225 Caliper\890732.pdf",,,,,,,,
55,"CI-169-TC1","n/a","Temperature Probe - cal not required","Shop",,,,,,2,11/9/2028 0:00:00,365,1/1/2222 0:00:00,1,,"Grieve Oven","This is a recorder probe and requires calibration before first use, but not recurrent calibration.","No recurrent calibration","K:\Scans\Calibration\CI-169-TC1 Temp Probe\CI-169-TC1 - Temp Probe - 181109.pdf",,,,,,,,
56,"CI-313","pH5F","Oakton pHTestr 5F - cal before use","QA",,,,,,2,,365,1/1/2222 0:00:00,1,,"QA Techician Lab","S/N T521041021
This device requires an accuracy check or recalibration at least once every week of use.
Keep the probe wet by capping it with its cap filled to the fill line with distilled water.  

S/N T521016011","Calibration performed in-house per the manufactureres instructions (expiration date not tracked in this database; marked as ""No calibration required"").
",,"Calibrate, at least weekly, per the manufacturer's instructions use the specified solution standards.",,,,,,,
57,"CI-314-TC1","n/a","Thermocouple Temperature Probe  - cal not required","Shop",,,,,,2,,365,1/1/2222 0:00:00,1,,"Despatch Oven","Used for over temp control - Does not require further calibration","N/A",,,,,,,,,
58,"CI-153","AEMC 5600","Micro-Ohmmeter","",,,,,,1,,365,6/10/2024 0:00:00,0,6/10/2025 0:00:00,"Shop","","Trescal","K:\Scans\Calibration\CI-153 Micro-Ohmmeter\CI-153 - 220520 - mcl.pdf",,,,,,,,
59,"CI-315","n/a","Thread Plug, go/no go, M5X.80-5H STI","QA",,,,,,2,,365,1/1/2222 0:00:00,1,,"Scrapped","Kato","Kato","K:\Scans\Calibration\CI-315 Thread gage M5X.80-5H STI\Certificate 856247(1).pdf",,,,,,,,
60,"CI-316","n/a","Thread gage, plug, go/no go 5/16-18 UNC-2B STI","QA",,,,,,1,10/17/2023 0:00:00,365,11/6/2024 0:00:00,0,11/6/2025 0:00:00,"GRC",,"Western States","K:\Quality - Records\7150 - Calibration\Calibration\CI-316 Thread Plug 516-18 UNC-2B STI\Certificate 856250.pdf",,,,,,,,
61,"CI-165","n/a","Temperature Controller, Tank 1 -  cal not required","Shop",,,,,,2,8/1/2018 0:00:00,365,1/1/2222 0:00:00,1,,"Chemical Conversion & Heat Treat Area","Temperature controlled by thermometer","Western States Calibration",,,,,,,,,
62,"CI-166","n/a","Temperature Controller, Tank 3 - cal not required","Quality Tech",,,,,,2,8/1/2018 0:00:00,365,1/1/2222 0:00:00,1,,"Chemical Conversion & Heat Treat Area","Temperature controlled by thermometer","Western States Calibration",,,,,,,,,
63,"CI-173","Omega DP132","Temperature & Process Monitor","QA",2,,,9/24/2021 0:00:00,9/24/2021 0:00:00,1,,365,2/20/2024 0:00:00,0,2/19/2025 0:00:00,"Chemical Conversion & Heat Treat Area","S/N 7480891
Tank #1 Temperature Monitoring
Chemical room
","National Calibration or Western States","K:\Quality - Records\7150 - Calibration\Calibration\CI-173 Temp Controller\CI-173 - 668289.pdf",,,,,,,,
64,"CI-174","Omega DP132","Temperature & Process Monitor","Shop",2,,,9/24/2021 0:00:00,,1,,365,2/20/2024 0:00:00,0,2/19/2025 0:00:00,"Chemical Conversion & Heat Treat Area","S/N 7380097
Tank #3 - Temperature Monitoring
Chemical room","National Calibration or Western States","K:\Quality - Records\7150 - Calibration\Calibration\CI-174 Temp Controller\CI-174 - 668288.pdf",,,,,,,,
65,"CI-177","Omega DP132","Temperature & Process Monitor","Shop",2,,,9/24/2021 0:00:00,,1,,365,2/20/2024 0:00:00,0,2/19/2025 0:00:00,"Chemical Conversion & Heat Treat Area","S/N 7480890
Tank #8 - Temperature Monitoring
Chemical room","National Calibration or Western States","K:\Quality - Records\7150 - Calibration\Calibration\CI-177 Temp Controller\CI-177 - 668287.pdf",,,,,,,,
66,"CI-133","VI-2102/C","Viscosity Cup","Paint Area",0,4/1/2025 0:00:00,,10/28/2021 0:00:00,,1,,365,4/1/2025 0:00:00,0,4/1/2026 0:00:00,"Paint",,"Calibration Solutions ","K:\Scans\Calibration\CI-133 - Zahn Cup 2\CI-133 - ZAHN Cup 2 - 221112.pdf",,,,,,,,
67,"CI-194","VI-EZ1C","Viscocity Cup","Paint Area",0,4/5/2025 0:00:00,,10/28/2021 0:00:00,,1,,365,4/1/2025 0:00:00,0,4/1/2026 0:00:00,"Paint","Paint","Calibration Solutions ","K:\Scans\Calibration\CI-194 - ZAHN Cup 1\CI-194 - ZAHN Cup 1 - 221112.pdf",,,,,,,,
68,"CI-189","VI-3404C","Viscocity ""Dip"" Cup","Paint Area",0,4/1/2026 0:00:00,,,,1,,365,4/26/2025 0:00:00,0,4/26/2026 0:00:00,"Paint","Paint","Calibration Solutons","K:\Scans\Calibration\CI-189 Zahn Cup 4\CI-189 - ZAHN Cup 4 - 221112.pdf",,,,,,,,
69,"CI-171","103R","Hardness Tester - cal before use","QA",,,,,,2,,365,1/1/2222 0:00:00,1,,"Inspection Lab","S/N R103P1557","Periodic calibration performed daily, when equipment used. Verification is performed using NIST traceable hardness test blocks.",,,,,,,,,
71,"CI-054","436","0-1"" O.D. Micrometer","QA",,,,,,1,,365,12/20/2023 0:00:00,0,12/19/2024 0:00:00,"QA","Starrett","Western States","K:\Quality - Records\7150 - Calibration\Calibration\CI-054 Micrometer Rita's\862824.pdf",,,,,,,,
72,"CI-181","n/a","0-1"" O.D. Micrometer","QA",,,,,,1,,365,11/6/2024 0:00:00,0,11/6/2025 0:00:00,"QA","Fowler","Western States","K:\Quality - Records\7150 - Calibration\Calibration\CI-181 O.D. Micrometer, 0-1\CI-181 - 231005.pdf",,,,,,,,
73,"CI-317","n/a","FT-10-5K  Tensile Tester with Dillon FI-80 LED Digital Read Out","Shop",,,,,,1,,365,12/20/2023 0:00:00,0,12/19/2024 0:00:00,"Shop","sn 7E1902700003","S. A. Meier","",,,,,,,,
75,"CI-197","n/a","0-1"" Thread Micrometer","QA",3,,,,1/18/2023 0:00:00,2,,365,10/7/2022 0:00:00,1,,"Storage","Fowler
sn 130105400","Western States","K:\Scans\Calibration\CI-197 Thread Micrometer\Certificate 868575.pdf",,,,,,,,
77,"CI-318","1042 94460-55","STOP WATCH","Shop",0,,,,,2,9/1/2023 0:00:00,,,1,,"Scrapped","S/N 210517371
CAME WITH ISO 17025 CERTIFICATION","CONTROL COMPANY","K:\Scans\Calibration\CI-318 Stopwatch\CI-318 - 210618.pdf",,,,,,,,
78,"CI-157-B1","58.23","AutoSigma 3000 Conductivity Reference Block","QA",,,,,,1,,365,8/12/2023 0:00:00,0,8/11/2024 0:00:00,"QA","STD 1 of AutoSigma 3000 standards bar attachment.","Micro Precicion","K:\Quality - Records\7150 - Calibration\Calibration\CI-157-B1 Conductivity Standard\5523631030270564.PDF","Eddy Current Conductivity @ 60 kHz",,,,,,,
80,"CI-157","AutoSigma 3000","Electrical Conductivity Meter (Eddy Current) ","QA",,,,,,2,,365,11/23/2021 0:00:00,1,,"QA","SN:556563/05
Accuracy is verified before each use and every 2 hours during use.
Annual calibration not required ","Christensen Industries; continuously during use","K:\Quality - Records\7150 - Calibration\Calibration\CI-157 Conductivity Meter (lab cal not req'd)\5523631030270564.PDF","Use calibrated/verified Conductivity Reference Blocks to check/set calibration during use.","Technical Reference and Operation Manual",,,,,,
81,"CI-320","689-2Z",".160-.360 Countersink Gage","QA Cabinet",0,5/6/2025 0:00:00,,,,1,,365,11/13/2023 0:00:00,0,11/12/2024 0:00:00,"GRC","Starrett","Western States",,,,,,,,,
82,"CI-157-B2","17.30","AutoSigma 3000 Conductivity Reference Block","QA",,,,,,1,,365,8/12/2023 0:00:00,0,8/11/2024 0:00:00,"QA Techician Lab","Mfgr: Fisher","Micro Precision","K:\Quality - Records\7150 - Calibration\Calibration\CI-157-B2 Conductivity Standard\5523631030270564.PDF",,,,,,,,
83,"CI-146","HygroThermoGraph","Temperature Chart Recorder","QA",,,,,,1,,365,2/20/2024 0:00:00,0,2/19/2025 0:00:00,"QA","Buy CT-485PS pens Omega Engineering Inc 
other pens may affect reading","National Calibration or Western States","K:\Quality - Records\7150 - Calibration\Calibration\CI-146 Temp Chart Recorder\CI-146 - 668304.pdf",,,,,,,,
84,"CI-321","WatlowPM6T2CH-BAAAAAG","Temp. Controller","Shop",0,12/1/2021 0:00:00,,,,2,1/19/2022 0:00:00,365,1/1/2222 0:00:00,1,,"Scrapped","MFR WATLOW
despatch oven
Removed from service","NATIONAL CALIBRATION","K:\Scans\Calibration\CI-321 - Temp Controller\CI-321 - 668307.pdf","After installation of the controller on 12/01/2021, the temperature was checked using CI-310 Digital Thermometer, Calibration Due 01/17/2022. The Temerature displayed was within 1° of that of the Digital Thermometer after applying probe and instrument error corrections.

Calibration will be checked at the next equipment calibration cycle on 01/19/2022.",,,,,,,
88,"CI-137","52-008-712","Caliper, Dial, 12""","Shop Weld Area",0,2/13/2025 0:00:00,,,,1,,365,2/19/2025 0:00:00,0,2/19/2026 0:00:00,"Shop Weld Area","Fowler","WSC","K:\Quality - Records\7150 - Calibration\Calibration\CI-137 Caliper, dial, 12\CI-137 - 231005.pdf",,,,,,,,
89,"CI-102","n/a","Thread gage, plug, go/no go, 2-56 STI","QA",0,12/5/2022 0:00:00,,,,2,,365,1/1/2222 0:00:00,1,,"Scrapped","OUT OF TOLERANCE REMOVED FROM SERVICE","Western States","K:\Scans\Calibration\CI-102 Thread gage, plug, 2-56 UNC-3B STI\CI-102 - Thread gage, plug, 2-56 UNC-3B STI.pdf",,,,,,,,
90,"CI-259","n/a","Thread gage, ring, no go, 1/4-28 UNJF-3A ","QA",0,10/12/2023 0:00:00,,,,2,,365,10/5/2022 0:00:00,1,,"QA",,"WSC","K:\Quality - Records\7150 - Calibration\Calibration\CI-259 Thread gage, plug, 14-28 UNJF-3A\CI-259 - 2310005.pdf",,,,,,,,
91,"CI-260","n/a","Thread gage, ring, go, 1/4-28 UNJF-3A ","QA",0,5/6/2025 0:00:00,,,,1,,365,5/17/2024 0:00:00,0,5/17/2025 0:00:00,"GRC",,"WSC","K:\Quality - Records\7150 - Calibration\Calibration\CI-260 Thread Ring 14-28 UNJF-3A\CI-260 - 231005.pdf",,,,,,,,
